cell_type,MultiK,ChooseR,MultiK + scVI,MultiK + Scanpy,MultiK + elbow,ChooseR + scVI,ChooseR + Scanpy,ChooseR + elbow,MultiK + scLENS,ChooseR + scLENS
Tregs.,4,0,0,0,0,0,0,0,0,0
Tgd_CRTAM..,8,1,1,1,1,1,1,1,1,1
Tnaive.CM_CD8.,2,2,2,2,2,2,2,2,2,2
Tnaive.CM_CD4.,0,0,3,3,3,3,3,3,3,3
Trm.em_CD8.,7,3,4,4,4,4,4,4,4,4
Trm_Th1.Th17.,6,4,5,5,4,5,5,4,5,5
T_CD4.CD8.,1,5,6,6,5,6,6,5,6,6
Trm_Th1.Th17.,6,6,3,3,2,7,7,6,5,5
Tregs.,4,0,0,0,0,0,0,0,0,0
Tnaive.CM_CD8.,2,2,7,2,2,2,2,6,2,2
Tnaive.CM_CD4.,0,7,3,3,3,8,7,3,3,3
Tnaive.CM_CD4.,0,8,7,3,3,7,7,3,3,3
Tnaive.CM_CD4.,0,7,3,3,3,7,7,6,3,7
Teffector.EM_CD4.,3,9,8,7,0,9,8,0,7,8
Trm_gut_CD8.,3,10,9,7,4,10,9,4,8,9
Tnaive.CM_CD4.,0,7,10,3,2,8,3,2,3,7
Teffector.EM_CD4.,3,11,8,7,4,9,9,4,7,8
Tnaive.CM_CD4.,0,7,10,3,2,8,3,2,3,3
Trm_Th1.Th17.,6,4,5,5,0,5,5,0,5,5
Tfh.,1,5,11,8,4,11,10,4,9,10
Trm.em_CD8.,7,3,4,4,4,4,4,4,4,4
Trm_Th1.Th17.,6,4,5,5,2,5,5,6,5,5
Tnaive.CM_CD8.,2,7,2,2,2,2,2,2,2,2
Tnaive.CM_CD4.,0,8,3,3,3,7,7,3,3,7
Tfh.,1,5,11,8,5,11,10,5,9,10
Tfh.,1,5,12,8,5,12,10,5,9,10
Tnaive.CM_CD4.,0,7,3,3,3,7,7,6,3,7
Tnaive.CM_CD4.,0,7,3,3,3,8,3,2,3,3
Teffector.EM_CD4.,3,11,8,7,4,9,8,4,7,8
Trm_Th1.Th17.,6,6,7,3,3,7,7,3,5,5
Tnaive.CM_CD4.,0,7,3,3,3,7,7,2,3,3
Tfh.,1,5,11,8,0,11,10,0,9,10
Tregs.,4,0,0,0,3,0,0,3,0,0
Teffector.EM_CD4.,3,10,8,7,4,9,9,4,7,8
Tgd_CRTAM..,8,1,1,1,4,1,1,1,1,1
Tnaive.CM_CD8.,2,2,2,2,3,2,2,6,2,2
Tfh.,1,5,12,8,5,12,10,5,9,10
Tfh.,1,5,11,8,5,11,10,5,9,10
Tgd_CRTAM..,8,1,1,1,1,1,1,1,1,1
Tnaive.CM_CD4.,0,7,10,3,2,8,3,2,3,3
Tnaive.CM_CD4.,0,7,3,3,2,7,3,2,3,3
Tnaive.CM_CD4.,0,7,3,3,3,7,7,6,3,7
Tnaive.CM_CD8.,2,2,2,2,3,2,2,6,2,2
Tnaive.CM_CD4.,0,7,10,3,2,8,7,2,3,3
Tnaive.CM_CD8.,2,2,2,2,2,2,2,6,2,2
Tnaive.CM_CD4.,0,7,3,3,2,8,7,6,3,7
Tnaive.CM_CD8.,2,2,2,2,3,2,2,6,2,2
Trm_Th1.Th17.,6,4,5,5,2,5,5,2,5,5
Tnaive.CM_CD8.,2,2,7,2,2,2,2,2,2,2
Trm_gut_CD8.,3,10,9,7,2,10,9,2,8,9
Tfh.,1,5,12,8,0,12,10,0,9,10
Tregs.,4,0,0,0,0,0,0,0,0,0
Tnaive.CM_CD4.,0,7,10,3,2,8,3,2,3,3
Tregs.,4,0,0,0,0,0,0,3,0,0
Tfh.,1,4,12,8,5,12,0,5,9,10
Tfh.,1,5,12,8,5,12,10,5,9,10
Trm_gut_CD8.,3,10,9,7,4,10,9,4,8,9
Tnaive.CM_CD4.,0,7,10,3,3,8,7,6,3,7
