cell_type,MultiK,ChooseR,MultiK + scVI,MultiK + Scanpy,MultiK + elbow,ChooseR + scVI,ChooseR + Scanpy,ChooseR + elbow,MultiK + scLENS,ChooseR + scLENS
Tfh.,1,0,0,0,0,0,0,0,0,0
Tregs.,3,1,1,1,1,1,1,1,1,1
Tfh.,1,0,0,0,2,0,0,2,0,0
Tnaive.CM_CD4.,0,2,2,1,1,2,1,1,2,2
Tnaive.CM_CD4.,0,2,2,1,1,2,1,3,2,2
Tnaive.CM_CD4.,0,2,2,1,3,3,1,4,2,3
Tnaive.CM_CD4.,0,3,2,1,3,4,1,5,2,3
Tnaive.CM_CD4.,0,2,2,1,1,2,1,6,2,2
Tnaive.CM_CD4.,0,2,2,1,3,2,1,7,2,3
Tfh.,1,0,0,0,2,0,0,8,0,0
Tnaive.CM_CD4.,0,3,2,1,3,4,1,9,2,3
MAIT.,10,4,3,2,0,5,2,10,3,4
Tnaive.CM_CD8.,2,5,4,1,3,6,3,11,4,5
Tfh.,1,0,1,0,2,0,0,12,0,0
Tnaive.CM_CD8.,2,5,2,1,1,7,3,13,4,5
Tgd_CRTAM..,8,6,5,3,4,8,4,14,5,6
Tnaive.CM_CD4.,0,2,2,1,3,4,1,9,2,3
Trm.em_CD8.,9,7,6,3,5,9,5,15,6,7
Teffector.EM_CD4.,4,8,7,2,0,10,6,16,7,8
Trm.em_CD8.,9,7,6,3,2,9,5,17,6,7
Tem.emra_CD8.,6,7,8,4,4,11,7,18,8,9
Tnaive.CM_CD8.,2,5,4,1,3,6,3,19,4,5
Tgd_CRTAM..,8,6,5,3,4,8,4,14,5,6
Trm_Th1.Th17.,5,9,9,5,6,12,8,20,9,10
Tnaive.CM_CD4.,0,3,2,1,3,4,1,19,2,3
Tregs.,3,1,1,6,7,1,9,21,1,1
Tem.emra_CD8.,6,10,8,4,4,11,7,22,8,9
Tnaive.CM_CD8.,2,5,4,1,6,6,3,20,4,5
Trm_Th1.Th17.,5,9,9,5,6,12,8,23,9,10
Trm_Th1.Th17.,5,9,9,5,6,12,8,24,9,10
Tfh.,1,0,0,0,2,0,8,17,0,0
Tfh.,1,0,0,0,2,0,0,25,0,0
Tnaive.CM_CD8.,2,5,4,1,3,7,3,26,4,5
Trm_Th1.Th17.,5,9,9,5,6,12,8,24,9,10
Tem.emra_CD8.,6,10,8,4,5,9,7,27,8,9
Tregs.,3,1,1,6,8,1,9,28,1,1
Tregs.,3,1,0,0,2,1,0,12,1,1
Tnaive.CM_CD8.,2,5,4,1,6,6,3,29,4,5
Tfh.,1,0,0,0,2,0,0,12,0,0
Tnaive.CM_CD8.,2,5,4,1,6,6,3,29,4,5
Trm.em_CD8.,9,7,6,3,4,9,5,14,6,7
Tnaive.CM_CD4.,0,2,2,1,3,2,1,7,2,3
Tnaive.CM_CD4.,0,2,2,1,3,7,1,30,2,3
Trm_Th1.Th17.,5,9,9,5,6,12,8,31,9,10
Tnaive.CM_CD4.,0,2,2,1,1,4,1,32,2,2
Tfh.,1,0,0,0,2,0,0,12,0,0
Trm.em_CD8.,9,7,6,3,5,9,5,15,6,7
Tnaive.CM_CD8.,2,5,4,1,1,6,3,33,4,5
Tnaive.CM_CD4.,0,3,2,1,3,7,1,34,2,2
Tfh.,1,0,0,0,0,0,0,35,0,0
Trm_gut_CD8.,7,11,10,2,8,13,6,36,10,11
Trm_gut_CD8.,7,11,10,2,0,13,6,0,10,11
Tgd_CRTAM..,8,6,5,3,4,8,4,14,5,6
Tgd_CRTAM..,8,6,5,3,4,8,4,37,5,6
Tregs.,3,1,1,6,2,1,9,3,1,1
Trm_Th1.Th17.,5,9,9,5,6,12,8,4,9,10
Tnaive.CM_CD8.,2,5,4,1,3,6,3,38,4,5
Tnaive.CM_CD8.,2,5,4,1,3,6,3,30,4,5
Trm_gut_CD8.,7,11,10,2,0,13,6,39,10,11
Tnaive.CM_CD4.,0,2,2,1,1,4,1,40,2,2
Tnaive.CM_CD4.,0,2,2,1,1,3,1,41,2,2
Tfh.,1,12,0,0,8,0,0,28,0,0
Tnaive.CM_CD4.,0,3,2,1,6,2,1,42,2,2
Tnaive.CM_CD4.,0,3,2,1,3,7,1,9,2,3
Teffector.EM_CD4.,4,8,7,2,4,10,10,43,7,8
T_CD4.CD8.,11,12,11,7,8,14,11,44,11,12
Trm_Th1.Th17.,5,12,9,0,2,1,0,17,7,8
Tnaive.CM_CD4.,0,3,2,1,3,4,1,11,2,3
Tnaive.CM_CD8.,2,5,4,1,1,6,3,45,4,5
Tfh.,1,0,0,0,2,0,0,46,0,0
Trm.em_CD8.,9,7,6,3,5,9,5,47,6,7
Tnaive.CM_CD8.,2,5,4,1,3,6,3,48,4,5
Tnaive.CM_CD4.,0,2,2,1,3,4,1,49,2,3
Trm_gut_CD8.,7,11,10,2,0,13,6,50,10,11
Tem.emra_CD8.,6,10,8,4,4,11,7,22,8,9
Trm_Th1.Th17.,5,9,9,5,6,12,8,31,9,10
Tem.emra_CD8.,6,10,8,4,4,11,7,22,8,9
Tregs.,3,1,1,6,8,1,9,21,1,1
T_CD4.CD8.,11,12,11,7,8,14,11,44,11,12
Trm_gut_CD8.,7,11,10,2,0,13,6,39,10,11
Tnaive.CM_CD4.,0,3,2,1,6,3,1,20,2,2
Tnaive.CM_CD4.,0,3,2,1,3,7,1,9,2,3
Trm.em_CD8.,9,7,5,3,4,9,5,43,6,7
Tregs.,3,1,1,6,1,1,9,3,1,1
Tnaive.CM_CD8.,0,3,4,1,1,6,3,51,4,5
Trm.em_CD8.,4,8,7,3,0,9,8,50,6,7
Tregs.,3,1,1,6,8,1,9,28,1,1
Tnaive.CM_CD4.,0,2,2,1,1,2,1,41,2,3
Tnaive.CM_CD4.,0,2,2,1,6,2,1,52,2,3
Tregs.,3,1,1,6,7,1,9,21,1,1
Tfh.,1,0,0,0,2,0,0,25,0,0
Tregs.,3,1,1,6,8,1,9,13,1,1
MAIT.,10,4,7,2,5,5,2,27,3,4
Teffector.EM_CD4.,4,8,7,2,1,10,6,45,7,8
Tnaive.CM_CD8.,2,5,4,1,1,6,3,45,4,5
Tem.emra_CD8.,9,10,8,4,4,11,7,53,8,9
Tnaive.CM_CD4.,0,2,2,1,3,2,1,7,2,3
Tfh.,1,0,0,0,2,0,0,46,0,0
Tnaive.CM_CD8.,2,5,2,1,6,6,3,42,4,5
MAIT.,10,4,3,2,5,5,2,54,3,4
Tfh.,1,0,0,0,2,0,0,2,0,0
Teffector.EM_CD4.,4,11,10,2,2,10,0,17,7,8
Teffector.EM_CD4.,4,8,7,2,0,10,6,55,7,8
Tregs.,3,1,1,6,8,1,9,28,1,1
Tnaive.CM_CD4.,0,2,2,1,3,4,1,7,2,3
Tnaive.CM_CD8.,2,5,4,1,1,6,3,29,4,5
MAIT.,4,4,3,2,6,5,6,24,3,4
Tem.emra_CD8.,6,10,8,4,4,11,7,56,8,9
Tnaive.CM_CD4.,0,2,2,1,3,2,1,7,2,3
Tnaive.CM_CD4.,0,2,2,1,1,4,1,11,2,2
Tgd_CRTAM..,8,6,5,3,4,8,4,22,5,6
Tnaive.CM_CD4.,0,2,2,1,1,2,1,1,2,2
Tnaive.CM_CD8.,2,5,4,1,6,6,3,20,4,5
Tregs.,3,1,0,6,7,1,9,57,1,1
Teffector.EM_CD4.,4,8,7,2,0,10,10,58,7,8
Teffector.EM_CD4.,4,8,7,2,0,10,6,16,7,8
Trm.em_CD8.,9,7,5,3,8,9,6,44,6,7
Tnaive.CM_CD8.,2,5,4,1,6,6,3,20,4,5
Tnaive.CM_CD8.,0,5,4,1,6,6,3,8,4,5
Tnaive.CM_CD4.,0,2,2,1,3,3,1,59,2,3
Trm_Th1.Th17.,5,9,9,5,6,12,8,24,9,10
