cell_type,MultiK,ChooseR,MultiK + scVI,MultiK + Scanpy,MultiK + elbow,ChooseR + scVI,ChooseR + Scanpy,ChooseR + elbow,MultiK + scLENS,ChooseR + scLENS
Tfh.,1,0,0,0,0,0,0,0,0,0
Tnaive.CM_CD8.,2,1,1,1,1,1,1,1,1,1
Trm.em_CD8.,10,2,2,2,2,2,2,2,2,2
Tnaive.CM_CD4.,7,3,3,3,3,3,3,1,3,3
Tregs.,3,4,4,4,4,4,4,0,4,4
Trm_Th1.Th17.,4,5,5,5,5,5,5,1,5,5
Tregs.,3,4,4,4,4,4,4,0,4,4
Tnaive.CM_CD8.,2,1,1,1,3,1,1,1,1,1
Tfh.,1,0,0,0,0,6,0,0,0,0
Trm_gut_CD8.,8,6,6,6,6,7,6,3,6,6
Tnaive.CM_CD4.,0,7,3,3,7,8,3,1,3,3
Tnaive.CM_CD4.,0,7,3,3,3,3,3,1,3,3
Tnaive.CM_CD4.,0,7,3,3,3,8,3,1,3,3
Tnaive.CM_CD8.,2,1,1,1,3,1,1,1,1,1
Tnaive.CM_CD4.,0,7,3,3,3,3,3,1,3,7
Tnaive.CM_CD8.,2,1,1,1,1,1,1,1,1,1
Tfh.,1,0,0,0,0,6,0,0,0,0
Teffector.EM_CD4.,8,6,7,6,6,9,6,3,7,8
Trm_gut_CD8.,8,6,6,6,6,7,6,3,6,6
Teffector.EM_CD4.,6,8,7,6,2,9,7,2,7,8
Tnaive.CM_CD4.,0,7,3,3,3,3,8,1,3,7
Tnaive.CM_CD8.,2,1,1,1,1,1,1,1,1,1
Tnaive.CM_CD4.,0,5,3,3,3,3,3,1,3,3
Trm_Th1.Th17.,4,5,5,5,5,5,5,1,5,5
Tnaive.CM_CD8.,2,3,1,1,3,1,1,1,1,1
Tregs.,3,4,4,4,0,4,4,0,4,4
Tregs.,3,4,4,4,4,4,4,0,4,4
Tnaive.CM_CD4.,0,7,3,3,3,3,3,1,3,3
MAIT.,11,9,8,7,2,10,9,3,8,9
Tnaive.CM_CD8.,2,1,1,1,1,1,1,1,1,1
Tnaive.CM_CD8.,2,1,1,1,1,1,1,1,1,1
MAIT.,11,9,8,7,2,10,9,3,8,9
Trm_Th1.Th17.,4,5,5,5,1,5,5,1,5,5
Tnaive.CM_CD4.,7,3,3,3,3,3,3,1,3,3
Tregs.,3,4,4,4,0,4,4,0,4,4
Tnaive.CM_CD4.,0,7,3,3,7,8,3,1,3,3
MAIT.,11,9,8,7,5,10,9,1,8,9
Tfh.,1,0,0,0,0,0,0,0,0,0
Teffector.EM_CD4.,6,8,7,6,2,9,7,2,7,8
Tnaive.CM_CD4.,0,7,3,3,7,8,3,1,3,3
Tem.emra_CD8.,5,10,9,8,8,11,10,2,9,10
Tfh.,1,0,0,0,0,6,0,0,0,0
Tnaive.CM_CD4.,0,3,3,3,3,3,3,1,3,3
Trm_gut_CD8.,8,6,6,6,6,7,6,3,6,6
Tfh.,1,0,0,0,0,6,0,0,0,0
Tnaive.CM_CD4.,0,7,3,3,1,8,8,1,3,7
T_CD4.CD8.,12,11,0,0,0,12,0,0,10,11
Teffector.EM_CD4.,6,8,7,6,6,9,7,3,7,8
Tnaive.CM_CD4.,0,3,3,3,3,8,3,1,3,3
Trm_gut_CD8.,8,6,6,6,6,7,6,3,6,6
MAIT.,11,9,8,7,2,10,9,3,8,9
Trm_Th1.Th17.,4,5,5,5,5,5,5,1,5,5
Teffector.EM_CD4.,6,8,7,6,2,9,7,3,7,8
Tgd_CRTAM..,9,12,10,9,8,13,11,2,11,12
Tnaive.CM_CD4.,0,7,3,3,7,3,3,1,3,3
Teffector.EM_CD4.,6,8,7,6,2,9,7,3,7,8
Trm.em_CD8.,10,2,2,2,2,2,2,2,2,2
Trm_Th1.Th17.,7,3,3,3,3,3,3,1,5,5
Tnaive.CM_CD4.,0,7,3,3,1,8,8,1,3,7
Tnaive.CM_CD4.,0,7,3,3,1,8,8,1,3,7
Tnaive.CM_CD4.,0,7,3,3,7,8,3,1,3,3
Tnaive.CM_CD4.,0,7,3,3,1,8,8,1,3,7
Tem.emra_CD8.,5,10,9,8,8,11,10,2,9,10
Tem.emra_CD8.,5,10,9,8,8,11,10,2,9,10
Tfh.,7,0,0,0,4,0,0,1,0,0
Tnaive.CM_CD4.,0,7,3,3,1,8,8,1,3,7
Tnaive.CM_CD4.,0,7,3,3,1,3,8,1,3,7
Tnaive.CM_CD4.,0,7,3,3,3,3,3,1,3,3
Trm_gut_CD8.,8,6,6,6,6,7,6,3,6,6
Tfh.,1,0,0,0,0,6,0,3,0,0
Tfh.,1,0,0,0,0,6,0,0,0,0
Tfh.,1,0,0,0,0,6,0,0,0,0
Tnaive.CM_CD4.,7,3,3,3,3,3,3,1,3,3
Trm.em_CD8.,7,3,7,2,6,9,2,3,2,2
Tfh.,1,0,0,0,0,6,0,0,0,0
MAIT.,11,9,8,7,2,10,9,2,8,9
