cell_type,MultiK,ChooseR,MultiK + scVI,MultiK + Scanpy,MultiK + elbow,ChooseR + scVI,ChooseR + Scanpy,ChooseR + elbow,MultiK + scLENS,ChooseR + scLENS
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,1,0,0
b-cells,4,0,0,0,0,0,0,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,1,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,1,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,1,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,1,0,0
b-cells,4,0,0,0,0,0,1,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,1,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,1,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,1,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,1,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,1,0,0
b-cells,4,0,0,0,0,0,0,1,0,0
b-cells,4,0,0,0,0,0,0,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,1,0,0
b-cells,4,0,0,0,0,0,1,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,1,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,1,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,1,1,0,0
b-cells,4,0,1,1,1,0,2,2,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,1,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,1,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,1,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
b-cells,4,0,0,0,0,0,0,0,0,0
