cell_type,MultiK,ChooseR,MultiK + scVI,MultiK + Scanpy,MultiK + elbow,ChooseR + scVI,ChooseR + Scanpy,ChooseR + elbow,MultiK + scLENS,ChooseR + scLENS
Teffector.EM_CD4.,1,0,0,0,0,0,0,0,0,0
Trm.em_CD8.,8,1,1,0,1,1,0,1,1,1
Tregs.,3,2,2,1,2,2,1,2,2,2
Tnaive.CM_CD4.,0,3,3,2,3,3,2,3,3,3
Tnaive.CM_CD4.,0,4,3,2,3,4,2,4,3,4
Tgd_CRTAM..,7,5,4,3,1,5,3,5,4,5
Tnaive.CM_CD8.,4,6,5,4,3,6,4,6,5,6
Trm.em_CD8.,8,1,1,0,0,1,0,7,1,1
T_CD4.CD8.,2,7,6,5,2,7,5,8,6,7
Tnaive.CM_CD8.,4,4,5,4,3,6,4,9,5,6
Tem.emra_CD8.,6,8,7,6,1,8,6,1,7,8
Tnaive.CM_CD4.,0,4,8,2,4,4,7,10,3,3
Tregs.,3,2,2,1,2,2,1,2,2,2
Tgd_CRTAM..,7,5,4,3,1,5,3,11,4,5
Tnaive.CM_CD8.,0,4,8,4,4,4,4,12,5,6
Tnaive.CM_CD4.,0,4,8,2,4,4,2,12,3,4
Tnaive.CM_CD8.,4,6,5,4,3,6,4,4,5,6
Tnaive.CM_CD8.,0,9,8,4,0,4,7,13,5,6
Trm_Th1.Th17.,5,9,9,7,3,9,8,14,8,9
Tregs.,3,2,2,1,2,2,1,15,2,2
Tregs.,3,2,2,1,2,2,1,16,2,2
MAIT.,9,10,10,8,0,10,9,17,9,10
Tnaive.CM_CD8.,4,6,5,4,3,6,4,18,5,6
Tnaive.CM_CD4.,0,4,8,2,3,4,2,9,3,4
Teffector.EM_CD4.,1,0,0,9,0,0,10,19,0,0
Tnaive.CM_CD4.,0,3,3,2,3,3,2,20,3,4
Tregs.,3,2,2,1,2,2,1,21,2,2
Tfh.,2,11,11,5,2,11,11,22,6,11
Teffector.EM_CD4.,1,0,0,9,0,0,10,23,0,0
Trm.em_CD8.,1,0,1,0,0,1,0,24,1,1
Tfh.,2,11,11,5,2,12,11,25,6,12
Tnaive.CM_CD8.,0,4,5,2,4,4,4,26,5,6
Tregs.,3,2,2,1,2,2,1,2,2,2
Tem.emra_CD8.,6,8,7,6,1,8,6,27,7,8
Tnaive.CM_CD4.,0,3,5,4,4,3,7,28,3,4
Tnaive.CM_CD4.,0,4,8,2,3,4,7,28,3,4
Tregs.,3,2,2,1,2,2,1,29,2,2
Teffector.EM_CD4.,1,0,0,9,0,13,10,30,0,0
Trm.em_CD8.,8,1,1,0,0,1,0,31,1,1
Tfh.,2,11,11,5,2,11,11,32,6,12
Trm.em_CD8.,8,1,1,0,0,1,0,24,1,1
Tnaive.CM_CD8.,4,6,5,4,3,6,4,3,5,6
Tem.emra_CD8.,0,4,8,0,0,8,0,13,7,8
Tnaive.CM_CD4.,0,3,3,2,3,3,2,33,3,4
Tfh.,2,11,11,5,2,11,11,16,6,11
Trm.em_CD8.,8,1,1,0,1,1,0,27,1,1
Tnaive.CM_CD8.,4,6,5,4,3,6,4,34,5,6
Trm_gut_CD8.,1,12,12,9,0,13,10,24,10,13
Tnaive.CM_CD8.,4,6,5,4,3,9,4,35,5,6
Tregs.,3,2,2,1,2,2,1,15,2,2
Tfh.,2,7,11,5,2,11,11,22,6,11
Tnaive.CM_CD4.,0,4,8,2,3,4,2,33,3,4
