cell_type,MultiK,ChooseR,MultiK + scVI,MultiK + Scanpy,MultiK + elbow,ChooseR + scVI,ChooseR + Scanpy,ChooseR + elbow,MultiK + scLENS,ChooseR + scLENS
Tfh.,1,0,0,0,0,0,0,0,0,0
Trm_gut_CD8.,2,1,1,1,1,1,1,1,1,1
MAIT.,10,2,2,2,2,2,1,2,2,2
MAIT.,10,2,2,2,2,2,1,2,2,2
Tnaive.CM_CD4.,0,3,3,3,3,3,2,3,3,3
Teffector.EM_CD4.,2,2,1,1,2,4,1,1,4,4
Teffector.EM_CD4.,2,2,1,1,2,4,1,0,4,4
Tnaive.CM_CD4.,0,3,3,3,4,3,2,3,5,5
Trm_Th1.Th17.,0,4,3,3,5,5,2,4,5,5
Tnaive.CM_CD4.,0,3,3,3,4,6,2,3,5,5
Tnaive.CM_CD8.,4,5,3,4,3,7,3,3,6,6
Teffector.EM_CD4.,2,1,1,1,2,4,1,1,4,4
Tregs.,3,6,4,5,0,8,4,0,7,7
Tnaive.CM_CD4.,5,7,3,4,1,9,3,4,5,5
Tnaive.CM_CD4.,0,7,3,3,4,5,2,3,5,5
Tnaive.CM_CD8.,4,5,3,4,4,7,3,3,6,6
Tnaive.CM_CD4.,0,3,3,3,6,5,2,5,3,3
Cycling.T.NK.,7,8,5,6,7,10,5,2,8,8
Trm_Th1.Th17.,6,4,3,7,4,3,3,3,5,5
Tnaive.CM_CD4.,0,7,3,3,5,5,2,4,5,5
Tregs.,3,6,4,5,6,11,4,5,7,7
Tregs.,3,6,4,5,6,11,4,5,7,7
Trm_Th1.Th17.,6,4,3,5,6,12,4,5,9,9
MAIT.,10,2,2,2,2,2,1,2,2,2
Tnaive.CM_CD8.,5,7,3,3,5,9,2,4,6,6
Trm.em_CD8.,9,9,5,8,2,13,6,2,10,10
Tem.emra_CD8.,7,8,5,6,7,14,5,2,8,8
Tnaive.CM_CD4.,0,10,3,3,5,9,3,3,5,5
Tnaive.CM_CD4.,4,11,3,3,5,5,3,3,5,5
Teffector.EM_CD4.,2,2,1,1,0,4,1,0,4,4
Trm_Th1.Th17.,6,6,1,0,4,12,0,1,9,9
Trm_Th1.Th17.,6,4,3,3,3,12,2,3,9,9
Trm_Th1.Th17.,6,4,1,0,2,6,0,2,9,4
Trm_Th1.Th17.,6,4,3,7,4,12,3,3,9,9
Tnaive.CM_CD4.,0,3,3,3,3,3,2,3,3,3
Tnaive.CM_CD4.,5,7,3,3,5,9,4,4,3,3
Tfh.,1,0,0,0,0,0,0,0,0,0
Trm.em_CD8.,9,9,5,2,2,13,6,2,10,10
Tnaive.CM_CD4.,0,3,3,3,5,3,2,3,5,5
Trm.em_CD8.,9,9,5,2,2,13,6,2,10,10
Tnaive.CM_CD8.,4,5,3,4,5,7,3,3,6,6
Tnaive.CM_CD8.,0,5,3,3,4,15,2,3,6,6
Trm.em_CD8.,9,9,5,2,2,13,1,1,10,10
Tregs.,3,6,4,5,6,11,4,5,7,7
Tnaive.CM_CD4.,0,3,3,3,3,3,2,3,3,3
Trm_gut_CD8.,1,1,1,1,1,1,1,4,1,1
Tnaive.CM_CD4.,0,11,3,3,3,9,2,3,5,5
Tnaive.CM_CD4.,5,7,3,3,5,9,2,4,5,5
Tfh.,1,0,0,0,0,0,0,0,0,0
Tnaive.CM_CD4.,0,3,3,3,5,5,2,3,5,5
Trm.em_CD8.,9,9,5,2,2,13,6,2,10,10
Tfh.,1,0,0,0,6,0,0,5,0,0
Tem.emra_CD8.,7,8,5,6,7,14,5,2,8,8
Tnaive.CM_CD4.,0,3,3,3,3,3,2,3,3,3
Tregs.,3,6,4,5,0,11,4,0,7,7
MAIT.,10,2,2,2,2,2,1,1,2,2
Tgd_CRTAM..,8,9,5,8,7,10,6,2,11,11
