cell_type,MultiK,ChooseR,MultiK + scVI,MultiK + Scanpy,MultiK + elbow,ChooseR + scVI,ChooseR + Scanpy,ChooseR + elbow,MultiK + scLENS,ChooseR + scLENS
Tnaive.CM_CD4.,1,0,0,0,0,0,0,0,0,0
Tnaive.CM_CD4.,0,1,1,1,1,1,0,0,0,1
Tnaive.CM_CD8.,5,2,2,2,1,2,1,0,1,2
Tregs.,4,3,3,3,2,3,2,1,2,3
Trm_Th1.Th17.,6,3,0,1,2,3,0,0,0,1
Tem.emra_CD8.,7,4,4,4,3,4,3,2,3,4
Trm.em_CD8.,8,5,5,5,3,5,4,2,4,5
Tem.emra_CD8.,7,4,4,4,3,4,3,2,3,4
Tnaive.CM_CD4.,0,1,0,6,0,0,1,0,0,0
Tfh.,2,6,6,7,2,6,5,1,5,6
Teffector.EM_CD4.,3,7,7,8,4,7,6,2,6,7
Tregs.,4,3,3,3,2,3,2,1,2,3
Tnaive.CM_CD4.,1,0,1,0,1,0,0,0,0,0
Tfh.,2,6,8,7,5,6,5,1,5,6
Tnaive.CM_CD4.,1,1,0,6,0,1,1,0,0,0
Tregs.,4,3,3,3,2,3,2,1,2,3
Teffector.EM_CD4.,3,7,9,8,4,7,6,2,6,7
Cycling.T.NK.,7,4,4,4,3,4,3,2,3,4
Tfh.,2,6,8,7,5,6,5,1,5,6
Trm_gut_CD8.,3,8,10,9,4,8,6,1,6,8
Tnaive.CM_CD4.,1,0,3,0,6,9,0,0,0,0
Trm_gut_CD8.,3,8,10,9,4,8,6,1,6,8
Tregs.,4,3,3,3,2,3,2,1,2,3
Tfh.,2,6,6,7,5,6,5,1,5,6
Tfh.,2,6,8,7,5,6,5,1,5,6
Tgd_CRTAM..,9,9,11,5,3,10,4,2,7,9
Tnaive.CM_CD8.,0,2,2,1,1,2,0,0,1,2
Tnaive.CM_CD4.,0,1,0,1,1,1,0,0,0,0
Trm.em_CD8.,3,5,5,8,4,7,4,2,4,5
Tnaive.CM_CD4.,1,1,2,0,0,1,1,0,0,0
Tregs.,4,3,3,3,2,3,2,1,2,3
Tgd_CRTAM..,9,9,11,5,3,10,4,2,7,9
Tfh.,2,6,6,7,5,6,5,1,5,6
Tem.emra_CD8.,1,10,9,4,3,11,3,2,3,4
Tem.emra_CD8.,7,4,4,4,3,4,3,2,3,4
Trm.em_CD8.,8,5,5,10,3,5,4,2,4,5
Tnaive.CM_CD8.,5,2,2,2,1,2,1,0,1,1
Tgd_CRTAM..,9,9,11,5,3,10,4,2,7,9
Tnaive.CM_CD4.,0,1,3,1,7,0,0,0,0,1
Tregs.,4,3,3,3,2,3,2,1,2,3
Tnaive.CM_CD4.,0,1,1,0,1,1,0,0,0,0
Tnaive.CM_CD4.,0,3,6,0,7,1,0,0,0,0
Trm_Th1.Th17.,1,0,0,6,0,0,1,0,8,10
MAIT.,3,7,7,8,4,11,6,2,9,11
Tnaive.CM_CD4.,1,0,0,1,7,1,0,0,0,1
Tnaive.CM_CD4.,1,3,0,1,7,0,0,0,0,1
Tfh.,2,6,6,7,5,6,5,1,5,6
Tnaive.CM_CD8.,5,2,2,6,1,2,7,0,1,2
Trm_Th1.Th17.,6,10,0,7,8,12,5,0,8,10
Teffector.EM_CD4.,3,7,7,8,4,7,6,2,6,7
T_CD4.CD8.,11,6,6,11,8,13,8,1,10,12
Tfh.,2,6,6,12,5,12,5,1,5,6
Tnaive.CM_CD4.,0,1,1,0,1,1,0,0,0,0
Tnaive.CM_CD8.,5,11,0,13,6,9,7,0,1,10
Tregs.,4,3,3,3,8,3,2,0,2,3
Tnaive.CM_CD8.,1,2,0,6,6,1,1,0,1,2
Trm_gut_CD8.,3,8,10,9,4,8,6,1,6,8
Tfh.,2,6,8,7,4,6,5,1,5,6
Tnaive.CM_CD4.,0,1,1,0,1,1,0,0,0,0
Tnaive.CM_CD8.,5,2,2,6,1,2,1,0,1,2
Tfh.,2,6,6,7,7,6,5,0,5,6
Tem.emra_CD8.,7,4,4,4,3,4,3,2,3,4
Trm_Th1.Th17.,1,11,12,6,0,3,1,0,8,10
