cell_type,MultiK,ChooseR,MultiK + scVI,MultiK + Scanpy,MultiK + elbow,ChooseR + scVI,ChooseR + Scanpy,ChooseR + elbow,MultiK + scLENS,ChooseR + scLENS
Tgd_CRTAM..,9,0,0,0,0,0,0,0,0,0
Trm_Th1.Th17.,2,1,1,1,1,1,1,1,1,1
MAIT.,7,2,2,2,2,2,2,2,2,2
MAIT.,7,2,2,2,2,2,2,2,2,2
Tfh.,5,3,3,3,3,3,3,3,3,3
Cycling.T.NK.,8,4,0,4,0,4,4,0,4,4
Tnaive.CM_CD4.,0,5,4,5,4,5,5,4,5,5
Tem.emra_CD8.,4,6,5,4,0,6,6,5,6,6
Tnaive.CM_CD8.,1,7,6,6,4,7,7,6,7,7
Trm_Th1.Th17.,2,1,1,1,1,1,5,7,1,1
Tnaive.CM_CD8.,1,7,6,6,4,7,7,8,7,7
Tnaive.CM_CD4.,0,5,4,5,4,8,5,4,5,5
Teffector.EM_CD4.,6,8,7,7,2,9,8,9,8,8
Tfh.,5,3,3,3,3,3,3,3,3,3
Trm_Th1.Th17.,2,1,1,1,1,1,1,7,1,1
Tnaive.CM_CD8.,1,7,6,6,4,7,7,4,7,7
Tnaive.CM_CD8.,1,7,6,6,4,7,7,6,7,7
Tregs.,3,9,8,8,5,10,9,10,9,9
Tem.emra_CD8.,4,6,5,4,0,6,6,5,6,6
Trm_Th1.Th17.,2,1,1,1,1,1,1,7,1,1
Tnaive.CM_CD8.,1,7,6,6,4,7,7,6,7,7
Tem.emra_CD8.,4,6,5,4,0,6,6,5,6,6
Tfh.,5,3,3,3,3,3,3,3,3,3
Tnaive.CM_CD8.,1,7,6,6,4,7,7,6,7,7
Tnaive.CM_CD8.,1,7,6,6,4,7,7,11,7,7
Tregs.,3,9,8,8,5,10,9,10,9,9
Tem.emra_CD8.,4,6,5,4,0,6,6,5,6,6
Tnaive.CM_CD8.,1,7,6,6,4,7,7,6,7,7
Tnaive.CM_CD8.,1,7,6,6,4,7,7,8,7,7
Tnaive.CM_CD4.,0,5,4,5,4,5,5,4,5,5
Tnaive.CM_CD8.,1,7,6,6,4,7,7,8,7,7
Tem.emra_CD8.,4,6,5,4,0,6,6,5,6,6
Tnaive.CM_CD4.,0,10,4,5,4,8,5,12,5,5
Tem.emra_CD8.,4,6,5,4,0,6,6,0,6,6
Tnaive.CM_CD8.,1,7,6,6,4,7,7,8,7,7
Tnaive.CM_CD8.,1,7,6,6,4,7,7,6,7,7
Tnaive.CM_CD4.,0,5,4,5,4,5,5,4,5,5
Tgd_CRTAM..,9,0,0,0,0,0,0,0,0,0
Tnaive.CM_CD8.,1,10,6,6,1,7,7,7,7,7
