cell_type,MultiK,ChooseR,MultiK + scVI,MultiK + Scanpy,MultiK + elbow,ChooseR + scVI,ChooseR + Scanpy,ChooseR + elbow,MultiK + scLENS,ChooseR + scLENS
Trm_gut_CD8.,6,0,0,0,0,0,0,0,0,0
Trm_Th1.Th17.,1,1,1,1,1,1,1,1,1,1
Tnaive.CM_CD8.,0,2,2,2,2,2,2,2,2,2
Tnaive.CM_CD4.,2,3,3,3,3,3,3,3,3,3
Tgd_CRTAM..,6,4,4,4,4,4,4,4,4,4
Tnaive.CM_CD4.,2,3,3,3,3,3,3,3,3,3
Tnaive.CM_CD8.,1,5,2,1,1,5,1,5,2,2
Tfh.,7,6,5,5,5,6,5,6,5,5
Tregs.,5,7,1,6,5,7,6,6,6,6
Tnaive.CM_CD4.,1,8,3,3,1,8,3,7,3,3
Tnaive.CM_CD8.,0,2,2,2,2,2,2,8,2,2
T_CD4.CD8.,1,1,0,5,5,6,7,6,3,3
Trm_gut_CD8.,6,0,0,0,0,0,0,0,0,0
Tem.emra_CD8.,4,9,6,7,4,9,8,4,7,7
Tem.emra_CD8.,4,9,6,7,4,9,8,9,7,7
MAIT.,8,10,7,0,0,10,9,0,8,8
Tnaive.CM_CD8.,0,2,2,2,2,2,2,8,2,2
Tnaive.CM_CD8.,0,2,2,2,2,2,2,8,2,2
Tnaive.CM_CD4.,1,5,3,1,1,1,1,1,3,3
Trm.em_CD8.,6,4,0,0,0,11,0,0,9,9
Trm_Th1.Th17.,3,1,8,8,1,12,10,10,1,1
Tem.emra_CD8.,4,9,6,7,4,9,8,4,7,7
Tnaive.CM_CD8.,1,5,2,2,1,5,1,10,2,2
Tnaive.CM_CD4.,2,3,3,3,3,3,3,11,3,3
Tfh.,7,6,5,5,5,6,5,6,5,5
Tnaive.CM_CD4.,2,3,3,3,3,3,3,3,3,3
Tfh.,1,1,5,5,1,6,5,6,5,5
Tnaive.CM_CD4.,1,5,3,3,3,8,1,7,3,3
Tfh.,7,6,5,5,5,6,5,12,5,5
Tfh.,7,6,5,5,5,6,5,6,5,5
Tnaive.CM_CD4.,2,3,3,3,3,3,3,11,3,3
Tem.emra_CD8.,4,9,6,7,4,9,8,4,7,7
Trm_Th1.Th17.,3,11,8,8,6,13,10,2,1,1
Trm_gut_CD8.,6,0,0,0,0,0,0,0,0,0
Tfh.,1,1,5,5,5,6,5,6,5,5
Teffector.EM_CD4.,6,0,0,0,0,0,0,0,10,10
Tnaive.CM_CD8.,0,2,2,2,2,2,2,8,2,2
Tnaive.CM_CD8.,0,2,2,2,2,2,2,8,2,2
Tnaive.CM_CD8.,0,12,2,2,1,5,2,5,2,2
Trm_Th1.Th17.,3,11,8,8,1,12,10,10,1,1
Tnaive.CM_CD8.,0,2,2,2,2,2,2,8,2,2
MAIT.,8,10,7,0,0,10,9,0,8,8
MAIT.,8,10,7,0,0,10,9,0,8,8
Tregs.,1,1,1,1,7,1,11,1,6,6
Tnaive.CM_CD8.,0,12,2,2,1,5,1,10,2,2
Trm_Th1.Th17.,3,11,8,8,6,13,10,2,1,1
Tnaive.CM_CD4.,1,8,3,3,1,8,1,7,3,3
Tnaive.CM_CD8.,1,12,2,2,1,5,2,5,2,2
Tfh.,7,6,5,5,5,6,5,12,5,5
Tfh.,1,1,1,1,7,1,11,1,6,6
Trm_Th1.Th17.,3,11,8,8,6,13,10,2,1,1
Tnaive.CM_CD4.,2,3,3,3,1,8,3,7,3,3
Tnaive.CM_CD4.,2,3,3,3,3,3,3,3,3,3
Tnaive.CM_CD4.,2,3,3,3,3,8,3,3,3,11
Trm_gut_CD8.,6,0,0,0,0,0,0,0,0,0
Tnaive.CM_CD4.,1,8,3,3,3,8,3,11,3,3
Tregs.,5,7,1,6,8,7,6,13,6,6
Tem.emra_CD8.,1,5,6,1,7,9,11,1,7,7
Trm_Th1.Th17.,3,11,8,8,6,13,10,2,1,1
Trm_Th1.Th17.,3,11,8,8,6,13,10,2,1,1
Cycling.T.NK.,4,13,9,9,4,14,12,9,7,12
Trm_Th1.Th17.,3,11,8,8,6,13,10,2,1,1
Tregs.,5,7,1,6,8,7,6,13,6,6
Trm_Th1.Th17.,1,5,8,1,1,12,1,1,1,1
Trm_Th1.Th17.,3,11,8,8,6,13,10,2,1,1
Tfh.,7,6,5,5,8,6,5,13,5,5
Tnaive.CM_CD8.,1,5,1,1,7,1,11,1,2,2
Tem.emra_CD8.,4,9,6,7,4,9,8,4,7,7
Tem.emra_CD8.,4,9,6,7,4,9,8,4,7,7
Tem.emra_CD8.,4,9,6,7,4,9,8,4,7,7
Trm_Th1.Th17.,1,12,8,1,1,12,1,1,1,1
Trm.em_CD8.,6,4,0,0,0,11,13,0,9,9
Tnaive.CM_CD8.,1,5,3,1,1,5,1,1,2,2
Tnaive.CM_CD8.,0,12,2,2,3,2,2,11,2,2
Tnaive.CM_CD4.,2,3,3,3,2,3,14,3,3,3
Trm_Th1.Th17.,3,11,8,8,6,13,10,2,1,1
Tem.emra_CD8.,4,9,6,7,4,9,8,4,7,7
Tfh.,7,6,5,5,5,6,5,12,5,5
Tnaive.CM_CD4.,1,8,3,3,1,8,1,7,3,3
Tnaive.CM_CD4.,1,8,3,1,1,8,1,5,2,2
Tnaive.CM_CD4.,2,8,3,3,1,8,1,7,3,3
Tnaive.CM_CD4.,2,8,3,3,3,8,3,7,3,3
Tfh.,7,6,5,5,5,6,5,6,5,5
Trm_Th1.Th17.,3,11,8,3,2,13,3,11,1,1
Tnaive.CM_CD4.,1,1,3,3,3,8,1,7,3,3
Trm_Th1.Th17.,3,1,8,3,1,12,3,10,1,1
Tfh.,7,6,5,5,5,6,5,6,5,5
Tfh.,7,6,5,5,5,6,5,12,5,5
Tnaive.CM_CD8.,0,2,2,2,2,5,2,8,2,2
Tfh.,7,6,5,5,5,6,5,12,5,5
Tnaive.CM_CD8.,0,12,2,3,1,5,3,5,2,2
Tfh.,1,1,5,5,1,6,5,6,5,5
Tem.emra_CD8.,4,9,6,7,4,9,8,4,7,7
Tnaive.CM_CD4.,2,8,3,3,3,3,3,7,3,3
Teffector.EM_CD4.,6,0,0,0,0,0,0,0,10,10
Cycling.T.NK.,4,13,9,9,4,14,12,9,7,12
Trm_Th1.Th17.,3,11,8,8,0,13,10,0,1,1
Tnaive.CM_CD4.,1,5,3,1,1,8,1,5,3,3
Tnaive.CM_CD8.,1,5,2,2,1,5,1,1,2,2
Tfh.,7,6,5,5,5,6,5,6,5,5
Teffector.EM_CD4.,6,0,0,0,0,0,0,0,10,10
Tem.emra_CD8.,4,9,6,7,4,9,8,4,7,7
Tnaive.CM_CD4.,2,3,3,3,2,3,14,3,3,11
Tnaive.CM_CD4.,2,3,3,3,3,3,14,3,3,11
Trm_Th1.Th17.,1,12,1,8,1,12,10,1,1,1
Tem.emra_CD8.,4,9,6,7,4,9,8,4,7,7
Tnaive.CM_CD4.,2,3,3,3,3,8,3,11,3,11
Tfh.,7,6,5,5,5,6,5,6,5,5
Tregs.,5,6,1,6,5,7,7,6,6,6
Tnaive.CM_CD8.,0,2,2,2,2,2,2,8,2,2
Trm_gut_CD8.,6,0,0,0,0,0,0,0,0,0
Tem.emra_CD8.,4,9,6,7,4,9,8,4,7,7
Tregs.,5,7,1,6,8,7,6,13,6,6
Tnaive.CM_CD8.,0,2,2,2,2,2,2,8,2,2
Tnaive.CM_CD8.,0,2,2,2,3,5,2,7,2,2
Tem.emra_CD8.,4,9,6,7,4,9,8,9,7,7
Teffector.EM_CD4.,6,0,0,0,0,0,0,0,10,10
Tfh.,7,6,5,5,5,6,5,6,5,5
Tnaive.CM_CD8.,0,2,2,2,2,2,2,8,2,2
Tregs.,5,7,1,6,8,7,6,13,6,6
Tregs.,1,1,1,6,1,1,7,6,1,1
Tnaive.CM_CD4.,2,3,3,3,3,3,3,3,3,3
MAIT.,8,10,7,0,0,10,9,0,8,8
Trm_Th1.Th17.,3,11,8,8,6,13,10,2,1,1
Tnaive.CM_CD8.,1,5,2,1,1,5,1,1,2,2
Tnaive.CM_CD4.,2,3,3,3,1,8,1,7,3,3
Cycling.T.NK.,4,13,9,9,8,14,12,13,7,12
Tem.emra_CD8.,4,9,6,7,4,9,8,4,7,7
Tgd_CRTAM..,9,4,4,4,4,4,4,9,4,4
Tnaive.CM_CD8.,0,2,2,2,2,2,2,8,2,2
Tnaive.CM_CD4.,2,3,3,3,3,3,3,3,3,11
Tnaive.CM_CD4.,2,3,3,3,3,3,3,7,3,3
Tnaive.CM_CD8.,0,2,2,2,2,2,2,8,2,2
Trm_Th1.Th17.,1,5,8,1,1,1,1,1,1,1
Tem.emra_CD8.,4,9,6,7,4,9,8,4,7,7
Trm_Th1.Th17.,3,11,8,8,6,13,10,2,1,1
Tfh.,7,6,5,5,5,6,5,6,5,5
Tnaive.CM_CD8.,1,5,1,1,1,1,1,1,6,6
Tregs.,5,7,1,6,5,7,6,6,6,6
Tfh.,7,6,5,5,5,6,5,12,5,5
Trm_Th1.Th17.,3,11,8,8,6,13,10,2,1,1
Tnaive.CM_CD4.,1,8,3,3,3,8,3,7,3,3
Tem.emra_CD8.,4,9,6,7,0,9,8,0,7,7
Tnaive.CM_CD4.,2,3,3,3,3,3,3,11,3,3
Tnaive.CM_CD4.,1,1,3,3,1,8,1,7,3,3
Tnaive.CM_CD4.,2,3,3,3,2,3,3,11,3,3
Trm_Th1.Th17.,3,11,8,8,6,13,10,2,1,1
MAIT.,8,10,7,0,0,10,9,0,8,8
Tnaive.CM_CD4.,1,5,1,1,7,1,11,1,3,3
Tnaive.CM_CD8.,0,2,2,2,2,2,2,8,2,2
Tfh.,7,6,5,5,5,6,5,12,5,5
Tnaive.CM_CD8.,0,2,2,2,2,2,2,8,2,2
Tnaive.CM_CD4.,2,3,3,3,3,3,3,11,3,3
Tnaive.CM_CD4.,2,3,3,3,3,3,3,7,3,3
Tregs.,1,5,1,1,7,1,11,1,5,5
Tnaive.CM_CD8.,1,5,2,3,1,5,1,1,2,2
Tnaive.CM_CD8.,0,2,2,2,2,2,2,8,2,2
Tnaive.CM_CD4.,2,3,3,3,2,3,14,3,3,11
Tregs.,5,7,1,6,8,7,6,13,6,6
Trm_Th1.Th17.,3,11,8,8,6,13,10,2,1,1
Tnaive.CM_CD8.,0,2,2,2,2,2,14,3,2,2
Tem.emra_CD8.,4,9,6,7,4,9,8,4,7,7
Trm_Th1.Th17.,3,12,8,8,1,12,10,10,1,1
Teffector.EM_CD4.,6,0,0,0,0,0,0,0,10,10
Trm_gut_CD8.,6,0,0,0,0,0,0,0,0,0
Tnaive.CM_CD4.,2,3,3,3,3,3,14,3,3,3
Tregs.,1,7,1,6,5,1,0,6,6,6
Tregs.,5,7,1,6,8,7,6,13,6,6
Trm_Th1.Th17.,3,11,8,8,6,13,10,2,1,1
Tnaive.CM_CD4.,2,3,3,3,2,3,14,3,3,11
Trm_Th1.Th17.,3,11,8,8,6,13,10,2,1,1
Tem.emra_CD8.,4,9,6,7,4,9,8,4,7,7
Tnaive.CM_CD8.,0,2,2,2,6,5,2,10,2,2
MAIT.,8,10,7,0,0,10,9,0,8,8
Tfh.,1,5,1,5,1,6,7,1,5,5
Tnaive.CM_CD4.,2,8,3,3,3,3,1,7,3,3
Tnaive.CM_CD8.,0,12,2,3,1,5,1,10,2,2
